Number_of_casualties,minute,Age_band_of_driver,Number_of_vehicles_involved,Light_conditions,Day_of_week,Types_of_Junction,session,hour,Lanes_or_Medians,Accident_severity
1.0,13.0,1.0,2.0,3.0,0.0,7.0,3.0,9.0,4.0,2.0
1.0,15.0,0.0,1.0,3.0,0.0,0.0,5.0,13.0,0.0,2.0
1.0,19.0,4.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0
3.0,30.0,4.0,2.0,3.0,1.0,0.0,5.0,13.0,2.0,2.0
3.0,30.0,4.0,2.0,3.0,1.0,0.0,5.0,13.0,2.0,2.0
3.0,30.0,3.0,2.0,3.0,1.0,0.0,5.0,13.0,1.0,2.0
1.0,53.0,1.0,2.0,0.0,1.0,7.0,5.0,15.0,2.0,2.0
1.0,53.0,0.0,2.0,0.0,1.0,7.0,5.0,15.0,2.0,2.0
1.0,12.0,4.0,2.0,0.0,4.0,1.0,1.0,17.0,2.0,2.0
1.0,12.0,1.0,2.0,0.0,4.0,1.0,1.0,17.0,2.0,2.0
1.0,40.0,1.0,2.0,0.0,1.0,7.0,1.0,17.0,2.0,2.0
1.0,40.0,4.0,2.0,0.0,1.0,7.0,1.0,17.0,4.0,2.0
2.0,17.0,0.0,2.0,0.0,6.0,7.0,0.0,5.0,0.0,2.0
2.0,17.0,0.0,2.0,0.0,6.0,7.0,0.0,5.0,2.0,2.0
1.0,55.0,1.0,1.0,0.0,6.0,7.0,1.0,17.0,2.0,2.0
1.0,30.0,0.0,2.0,3.0,0.0,1.0,0.0,7.0,0.0,2.0
1.0,30.0,4.0,2.0,3.0,0.0,1.0,0.0,7.0,2.0,2.0
1.0,50.0,0.0,2.0,0.0,5.0,0.0,1.0,18.0,2.0,2.0
1.0,50.0,4.0,2.0,0.0,5.0,0.0,1.0,18.0,6.0,2.0
2.0,50.0,1.0,1.0,3.0,4.0,7.0,5.0,15.0,2.0,2.0
2.0,50.0,1.0,1.0,3.0,4.0,7.0,5.0,15.0,0.0,2.0
1.0,30.0,1.0,2.0,0.0,5.0,0.0,0.0,6.0,4.0,2.0
1.0,30.0,1.0,2.0,0.0,5.0,0.0,0.0,6.0,2.0,2.0
1.0,10.0,4.0,1.0,0.0,1.0,7.0,1.0,20.0,2.0,2.0
1.0,7.0,4.0,2.0,0.0,4.0,0.0,4.0,23.0,1.0,2.0
1.0,7.0,0.0,2.0,0.0,4.0,0.0,4.0,23.0,0.0,2.0
1.0,10.0,4.0,1.0,3.0,3.0,7.0,5.0,16.0,2.0,2.0
1.0,45.0,1.0,2.0,0.0,2.0,7.0,5.0,15.0,0.0,2.0
1.0,45.0,1.0,2.0,0.0,2.0,7.0,5.0,15.0,4.0,2.0
1.0,48.0,4.0,1.0,3.0,2.0,1.0,3.0,9.0,2.0,2.0
1.0,0.0,1.0,2.0,2.0,2.0,7.0,4.0,22.0,6.0,2.0
1.0,0.0,1.0,2.0,2.0,2.0,7.0,4.0,22.0,6.0,2.0
1.0,5.0,2.0,2.0,3.0,0.0,7.0,3.0,11.0,2.0,2.0
1.0,5.0,0.0,2.0,3.0,0.0,7.0,3.0,11.0,6.0,2.0
1.0,0.0,4.0,2.0,3.0,4.0,7.0,5.0,15.0,2.0,2.0
1.0,0.0,0.0,2.0,3.0,4.0,7.0,5.0,15.0,2.0,2.0
1.0,55.0,4.0,2.0,0.0,1.0,1.0,1.0,18.0,2.0,2.0
1.0,55.0,0.0,2.0,0.0,1.0,1.0,1.0,18.0,4.0,2.0
1.0,40.0,1.0,2.0,0.0,5.0,0.0,4.0,22.0,2.0,2.0
1.0,40.0,0.0,2.0,0.0,5.0,0.0,4.0,22.0,2.0,2.0
1.0,10.0,3.0,2.0,0.0,0.0,0.0,4.0,22.0,4.0,2.0
1.0,10.0,4.0,2.0,0.0,0.0,0.0,4.0,22.0,4.0,2.0
1.0,44.0,1.0,2.0,2.0,4.0,0.0,1.0,19.0,2.0,2.0
1.0,44.0,1.0,2.0,2.0,4.0,0.0,1.0,19.0,2.0,2.0
1.0,51.0,2.0,2.0,0.0,3.0,0.0,1.0,17.0,2.4,2.0
1.0,51.0,0.0,2.0,0.0,3.0,0.0,1.0,17.0,4.0,2.0
1.0,8.0,1.0,1.0,0.0,2.0,7.0,2.0,2.0,6.0,2.0
1.0,30.0,1.0,1.0,3.0,3.0,0.0,0.0,8.0,2.8,2.0
1.0,30.0,0.0,2.0,3.0,5.0,0.0,0.0,7.0,4.0,2.0
1.0,30.0,4.0,2.0,3.0,5.0,0.0,0.0,7.0,6.0,2.0
1.0,10.0,0.0,2.0,0.0,1.0,7.0,5.0,16.0,6.0,2.0
1.0,10.0,1.0,2.0,0.0,1.0,7.0,5.0,16.0,4.0,2.0
1.0,0.0,1.0,1.0,3.0,5.0,0.0,3.0,9.0,6.0,2.0
1.0,42.0,2.0,1.0,3.0,5.0,0.0,5.0,15.0,4.0,2.0
2.0,30.0,1.0,2.0,0.0,4.0,3.0,0.0,5.0,0.0,2.0
2.0,30.0,0.0,2.0,0.0,4.0,3.0,0.0,5.0,6.0,2.0
1.0,45.0,3.0,2.0,0.0,4.0,0.0,1.0,20.0,4.0,2.0
1.0,45.0,1.0,2.0,0.0,4.0,0.0,1.0,20.0,1.0,2.0
1.0,30.0,1.0,1.0,0.0,4.0,7.0,1.0,20.0,4.0,2.0
1.0,55.0,1.0,2.0,0.0,0.0,7.0,2.0,0.0,6.0,2.0
1.0,55.0,1.0,2.0,0.0,0.0,7.0,2.0,0.0,6.0,2.0
